"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Meta Robots 2","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","Élément de lien en version canonique 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.al-metallerie.fr/","text/html; charset=UTF-8","200","OK","Indexable","","AL Métallerie | Portails, Garde-corps, Escaliers sur Mesure | Thiers (63)","73","627","Artisan métallier à Thiers (63). Fabrication et pose de portails, garde-corps, escaliers, pergolas sur mesure. Devis gratuit sous 24h. ☎ 06 73 33 35 32","151","902","métallerie Thiers, serrurier Puy-de-Dôme, soudure 63, portail sur mesure, garde-corps, escalier métallique, pergola, ferronnerie art, artisan métallier Auvergne, formation soudure","179","Métallier Serrurier à Thiers","28","Bienvenue chez AL Métallerie Soudure","36","Créations sur mesure","20","max-image-preview:large","index, follow, max-image-preview:large","","","https://www.al-metallerie.fr/","","","","","","","180396","30411","30411","11,650","","604","111","5,441","52,141","Assez difficile","5,227","0","0","","163","60","0","96,770","68","46","0","5","5","0","","","","","9023560fe34d0cf48485a7df2717e8ec","0,317","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/","2025-12-21 20:45:25"
"https://www.al-metallerie.fr/wp-content/plugins/almetal-analytics/assets/css/cookie-banner.css","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://www.al-metallerie.fr/wp-content/plugins/almetal-analytics/assets/css/cookie-banner.css","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/type-realisation/porte-a-galandage/","text/html; charset=UTF-8","200","OK","Indexable","","Porte à galandage sur mesure | AL Métallerie & Soudure Thiers, Puy-de-Dôme","74","689","Porte à galandage sur mesure à Thiers (63) par AL Métallerie & Soudure. Fabrication artisanale, fer forgé et métal. Devis gratuit !","131","788","métallerie Thiers, serrurier Puy-de-Dôme, soudure 63, portail sur mesure, garde-corps, escalier métallique, pergola, ferronnerie art, artisan métallier Auvergne, formation soudure","179","Porte à galandage","17","Nos porte à galandage sur mesure à Thiers","41","Porte à galandage (style verrière atelier) en acier thermolaqué.","64","max-image-preview:large","index, follow, max-image-preview:large","","","https://www.al-metallerie.fr/type-realisation/porte-a-galandage/","","","","","","","142121","24804","24804","9,502","","247","39","6,333","61,690","Normal","4,630","1","2","","80","60","0","96,770","52","40","0","5","5","0","","","","","c8f1c7879c5deb14a21826c4a6aedbdf","0,243","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/type-realisation/porte-a-galandage/","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/https://www.al-metallerie.fr/formations/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","1","1","0","1,610","0","0","0","0","0","0","","","","","","0,264","","https://www.al-metallerie.fr/formations/","Redirection HTTP","","","1.1","","","","","","https://www.al-metallerie.fr/https://www.al-metallerie.fr/formations/","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/wp-content/plugins/litespeed-cache/assets/js/instant_click.min.js","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","","","","","","","None","","","","","","https://www.al-metallerie.fr/wp-content/plugins/litespeed-cache/assets/js/instant_click.min.js","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/wp-content/themes/almetal-theme/assets/images/gallery/pexels-kelly-2950108%201.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","65270","65270","65270","25,004","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,051","Fri, 12 Dec 2025 14:25:44 GMT","","","","","1.1","","","","","","https://www.al-metallerie.fr/wp-content/themes/almetal-theme/assets/images/gallery/pexels-kelly-2950108%201.webp","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/grilles/fabrication-et-pose-dun-box-a-velos-cunlhat/","text/html; charset=UTF-8","200","OK","Indexable","","Fabrication et pose... – AL Métallerie Soudure","46","407","Grilles à Cunlhat par AL Métallerie, artisan ferronnier à Thiers (63). Réalisé en 2 semaines. Découvrez ce projet et demandez votre devis gratuit !","147","878","","0","Fabrication et pose d’un box à vélos.","37","Grilles en acier à Cunlhat - 2025","33","Pourquoi choisir AL Métallerie ?","32","max-image-preview:large","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.al-metallerie.fr/grilles/fabrication-et-pose-dun-box-a-velos-cunlhat/","https://www.al-metallerie.fr/grilles/fabrication-et-pose-dun-box-a-velos-cunlhat/","","","","","","153767","28910","28910","11,075","","430","78","5,513","67,847","Normal","5,170","1","2","","137","60","0","96,770","59","40","0","6","6","0","","","","","fece8efafdcd3bfd174174f44534b74f","0,365","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/grilles/fabrication-et-pose-dun-box-a-velos-cunlhat/","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/industrie/fabrication-et-pose-dun-portail-coulissant-en-acier-thermolaque-escoutoux/","text/html; charset=UTF-8","200","OK","Indexable","","Fabrication et pose... – AL Métallerie Soudure","46","407","Industrie à Escoutoux par AL Métallerie, artisan ferronnier à Thiers (63). Réalisé en 1 semaine. Découvrez ce projet et demandez votre devis gratuit !","150","905","","0","Fabrication et pose d’un portail coulissant en acier thermolaqué.","65","Industrie en acier à Escoutoux - 2025","37","Pourquoi choisir AL Métallerie ?","32","max-image-preview:large","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.al-metallerie.fr/industrie/fabrication-et-pose-dun-portail-coulissant-en-acier-thermolaque-escoutoux/","https://www.al-metallerie.fr/industrie/fabrication-et-pose-dun-portail-coulissant-en-acier-thermolaque-escoutoux/","","","","","","153490","28633","28633","10,969","","429","78","5,500","67,549","Normal","5,189","1","2","","137","60","0","96,770","59","40","0","5","5","0","","","","","1cd1dbc23c2cb9ae09ad1932a974c554","0,400","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/industrie/fabrication-et-pose-dun-portail-coulissant-en-acier-thermolaque-escoutoux/","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/garde-corps/structure-terrasse-en-acier-thermolaque-thiers/","text/html; charset=UTF-8","200","OK","Indexable","","Structure terrasse en acier... – AL Métallerie Soudure","54","474","Garde-corps à Thiers par AL Métallerie, artisan ferronnier à Thiers (63). Réalisé en 2 Semaines. Découvrez ce projet et demandez votre devis gratuit !","150","907","","0","Structure terrasse en acier thermolaqué","39","Autres en acier à Thiers - 2025","31","Pourquoi choisir AL Métallerie ?","32","max-image-preview:large","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.al-metallerie.fr/garde-corps/structure-terrasse-en-acier-thermolaque-thiers/","https://www.al-metallerie.fr/garde-corps/structure-terrasse-en-acier-thermolaque-thiers/","","","","","","154358","28905","28905","11,073","","423","77","5,494","68,259","Normal","5,120","1","2","","75","60","0","96,770","58","40","0","5","5","0","","","","","abcac6562be1703432e29020bf673427","0,470","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/garde-corps/structure-terrasse-en-acier-thermolaque-thiers/","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/https://www.al-metallerie.fr/formations-particuliers/","text/html; charset=UTF-8","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","1","1","0","1,610","0","0","0","0","0","0","","","","","","0,083","","https://www.al-metallerie.fr/formations-particuliers/","Redirection HTTP","","","1.1","","","","","","https://www.al-metallerie.fr/https://www.al-metallerie.fr/formations-particuliers/","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/wp-content/uploads/2025/12/escaliers-acier-dorat-2025-1766227897-1735-400x300.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","5198","5198","5198","1,991","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,043","Sat, 20 Dec 2025 10:51:39 GMT","","","","","1.1","","","","","","https://www.al-metallerie.fr/wp-content/uploads/2025/12/escaliers-acier-dorat-2025-1766227897-1735-400x300.webp","2025-12-21 20:45:27"
